Gene1,Gene2,Score
AT5G40780,AT3G50470,0.24458145
AT5G07440,AT1G77380,0.24454278
AT5G53110,AT2G44380,0.24415363
AT2G39200,AT1G30730,0.24334963
AT2G17740,AT2G19190,0.24297988
AT1G64280,AT4G21870,0.2424782
AT5G13930,AT3G19450,0.24247226
AT2G25000,AT1G35160,0.24181236
AT4G21870,AT5G53460,0.24140796
AT2G25470,AT1G05300,0.2405938
AT1G51890,AT1G61380,0.24042818
AT1G52200,AT1G05300,0.24040781
AT4G27730,AT4G30190,0.23954789999999998
AT4G38560,AT2G25000,0.23870152
AT2G25000,AT3G21080,0.23841974
AT4G08850,AT1G51680,0.23810509
AT5G48430,AT5G66420,0.23744904
AT3G50480,AT3G21080,0.23709394
AT2G15620,AT5G13930,0.23707592
AT5G37600,AT5G50200,0.23689583
AT4G08850,AT3G19010,0.23654853
AT1G37130,AT4G28140,0.23642571
AT4G08850,AT3G19930,0.23622613
AT2G30490,AT3G45060,0.23511104
AT2G44370,AT2G39530,0.234894
AT2G37040,AT4G24160,0.23463910000000002
AT4G20860,AT2G42360,0.23456194
AT4G01250,AT5G20250,0.23418155
AT1G70530,AT2G44490,0.23392
AT3G19450,AT5G20250,0.23383492
AT4G23210,AT3G59880,0.23287542
AT1G05300,AT5G55050,0.23212864
AT5G39580,AT3G19010,0.23141196
AT5G67450,AT1G65490,0.2307638
AT2G17740,AT2G15620,0.23063026
AT3G50470,AT3G48650,0.22925165
AT3G25882,AT2G37710,0.2291026
AT5G50200,AT5G44585,0.22893739
AT2G31400,AT4G27730,0.22835018
AT4G31550,AT3G52450,0.22695638
AT2G30490,AT4G35180,0.22536913
AT2G30490,AT3G19450,0.22500032
AT5G53110,AT3G19930,0.2248348
AT5G54160,AT2G37040,0.22468938
AT1G65690,AT5G04140,0.22462896
AT5G37600,AT3G50480,0.22442062
AT2G17740,AT2G39200,0.22435329999999998
AT2G15620,AT5G40780,0.2242936
AT4G35180,AT4G38560,0.22414283
AT3G29034,AT1G52200,0.22406074
AT1G51620,AT4G21410,0.22381878
AT1G30720,AT3G49780,0.22381821
AT3G25882,AT3G50480,0.2233982
AT5G53110,AT1G65690,0.22339259
AT1G30730,AT5G59080,0.22326505
AT4G23210,AT2G02220,0.22322659
AT1G64170,AT4G27730,0.2226423
AT1G14780,AT1G61380,0.22263550000000001
AT1G51800,AT2G37040,0.22224823
AT2G25000,AT3G19450,0.22197796
